no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_1
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_32
yes_crockford, no_ice_decline, no_ice_stable, NA_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_33
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_34
yes_crockford, no_ice_decline, yes_ice_stable, NA_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, contra, blog, blog_35
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_36
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_37
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_38
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_39
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_40
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_42
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_43
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_44
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, yes_bear_adapt, yes_bear_ok, contra, blog, blog_45
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_46
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_47
no_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_49
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, yes_bear_adapt, yes_bear_ok, contra, blog, blog_51
no_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, yes_bear_adapt, yes_bear_ok, contra, blog, blog_52
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_53
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, blog, blog_55
no_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_56
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_57
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_58
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, yes_bear_adapt, yes_bear_ok, contra, blog, blog_59
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_60
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, yes_bear_adapt, no_bear_ok, pro, blog, blog_61
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, yes_bear_adapt, yes_bear_ok, contra, blog, blog_62
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, blog, blog_63
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_64
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_65
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_66
no_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_69
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_70
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_71
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_72
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, blog, blog_73
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, yes_bear_adapt, yes_bear_ok, contra, blog, blog_74
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_75
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_76
no_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_77
yes_crockford, yes_ice_decline, no_ice_stable, yes_ice_natural, no_bear_threatened, yes_bear_adapt, yes_bear_ok, contra, blog, blog_78
no_crockford, yes_ice_decline, no_ice_stable, NA_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_80
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_81
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_82
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_83
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_84
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_85
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_86
yes_crockford, no_ice_decline, yes_ice_stable, NA_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_87
yes_crockford, no_ice_decline, yes_ice_stable, NA_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_88
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_89
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, yes_bear_adapt, yes_bear_ok, contra, blog, blog_90
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_91
no_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, yes_bear_adapt, yes_bear_ok, contra, blog, blog_92
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, blog, blog_93
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, blog, blog_94
no_crockford, yes_ice_decline, no_ice_stable, NA_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_95
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_96
no_crockford, yes_ice_decline, no_ice_stable, NA_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, blog, blog_97
no_crockford, yes_ice_decline, no_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_98
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_99
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, blog, blog_100
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_101
no_crockford, yes_ice_decline, no_ice_stable, NA_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, blog, blog_102
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, blog, blog_103
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_104
no_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_105
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_4
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_5
no_crockford, no_ice_decline, no_ice_stable, yes_ice_natural, no_bear_threatened, yes_bear_adapt, yes_bear_ok, contra, paper, paper_6
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_10
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_11
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_16
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_17
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_18
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_19
no_crockford, no_ice_decline, no_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, no_bear_ok, contra, paper, paper_20
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, NA_bear_threatened, yes_bear_adapt, NA_bear_ok, contra, paper, paper_21
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_22
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, NA_bear_threatened, yes_bear_adapt, NA_bear_ok, contra, paper, paper_23
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_25
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_27
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_29
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_30
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_31
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_32
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_37
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_38
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_40
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_46
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_47
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_48
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_50
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_51
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_52
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_53
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_54
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_57
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_61
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_62
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_63
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_64
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_65
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_67
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_68
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_71
no_crockford, no_ice_decline, no_ice_stable, no_ice_natural, no_bear_threatened, yes_bear_adapt, yes_bear_ok, contra, paper, paper_72
no_crockford, NA_ice_decline, NA_ice_stable, yes_ice_natural, no_bear_threatened, yes_bear_adapt, yes_bear_ok, contra, paper, paper_73
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_74
no_crockford, yes_ice_decline, NA_ice_stable, NA_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_78
no_crockford, yes_ice_decline, no_ice_stable, NA_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_79
no_crockford, yes_ice_decline, NA_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_84
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_86
no_crockford, yes_ice_decline, NA_ice_stable, NA_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_89
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_92
no_crockford, yes_ice_decline, NA_ice_stable, NA_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_94
no_crockford, yes_ice_decline, NA_ice_stable, NA_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_96
no_crockford, yes_ice_decline, NA_ice_stable, NA_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_98
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_101
no_crockford, yes_ice_decline, NA_ice_stable, NA_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_103
no_crockford, yes_ice_decline, NA_ice_stable, NA_ice_natural, yes_bear_threatened, NA_bear_adapt, NA_bear_ok, pro, paper, paper_104
no_crockford, yes_ice_decline, NA_ice_stable, NA_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_105
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_106
no_crockford, yes_ice_decline, NA_ice_stable, NA_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_112
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_113
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_114
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_118
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_122
no_crockford, yes_ice_decline, no_ice_stable, NA_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_124
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_127
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_129
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_132
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_134
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_135
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_136
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_139
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_141
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, paper, paper_142
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_143
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_145
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_146
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_147
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_148
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_149
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_150
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_151
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_152
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_154
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_155
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_156
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_157
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, NA_bear_ok, pro, paper, paper_158
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, NA_bear_ok, pro, paper, paper_159
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_160
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_161
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_162
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_163
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_164
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, paper, paper_165
